iter	Passed	Remaining
0	238	71456
1	347	51831
2	450	44551
3	553	40972
4	678	40052
5	770	37770
6	858	35915
7	960	35040
8	1043	33734
9	1192	34573
10	1303	34258
11	1402	33649
12	1506	33261
13	1600	32698
14	1732	32924
15	1837	32609
16	1944	32375
17	2025	31731
18	2122	31397
19	2276	31869
20	2381	31646
21	2492	31501
22	2594	31245
23	2686	30891
24	2820	31022
25	2931	30897
26	3023	30575
27	3121	30325
28	3236	30248
29	3340	30066
30	3464	30061
31	3554	29772
32	3646	29500
33	3732	29198
34	3819	28918
35	3915	28710
36	4038	28707
37	4138	28533
38	4236	28353
39	4331	28154
40	4426	27959
41	4508	27693
42	4628	27663
43	4729	27519
44	4845	27457
45	4925	27195
46	5007	26954
47	5133	26950
48	5258	26937
49	5356	26781
50	5458	26652
51	5544	26444
52	5615	26171
53	5716	26041
54	5842	26026
55	5932	25847
56	6022	25676
57	6119	25534
58	6235	25471
59	6384	25539
60	6477	25377
61	6579	25255
62	6686	25155
63	6794	25053
64	6862	24811
65	6951	24645
66	7031	24452
67	7136	24348
68	7224	24185
69	7293	23964
70	7395	23852
71	7498	23745
72	7580	23572
73	7673	23433
74	7752	23257
75	7839	23104
76	7915	22925
77	7995	22757
78	8074	22587
79	8151	22417
80	8226	22242
81	8301	22069
82	8380	21910
83	8441	21705
84	8505	21513
85	8570	21327
86	8642	21159
87	8705	20973
88	8776	20807
89	8858	20669
90	8936	20524
91	8996	20340
92	9065	20178
93	9157	20069
94	9240	19939
95	9315	19795
96	9389	19649
97	9461	19501
98	9542	19374
99	9622	19245
100	9714	19140
101	9792	19008
102	9862	18862
103	9927	18709
104	9991	18554
105	10090	18467
106	10197	18393
107	10266	18251
108	10374	18179
109	10455	18059
110	10536	17941
111	10616	17820
112	10693	17696
113	10767	17567
114	10832	17426
115	10906	17299
116	10992	17193
117	11071	17076
118	11155	16967
119	11239	16859
120	11323	16751
121	11408	16644
122	11485	16527
123	11550	16394
124	11629	16280
125	11701	16159
126	11779	16045
127	11848	15920
128	11931	15815
129	12004	15697
130	12104	15615
131	12208	15537
132	12303	15448
133	12402	15363
134	12489	15265
135	12647	15251
136	12733	15150
137	12817	15046
138	12927	14973
139	13000	14858
140	13070	14739
141	13158	14640
142	13239	14536
143	13320	14430
144	13403	14327
145	13482	14220
146	13568	14122
147	13664	14033
148	13759	13944
149	13838	13838
150	13922	13737
151	14029	13660
152	14115	13562
153	14197	13459
154	14275	13354
155	14354	13250
156	14432	13145
157	14509	13039
158	14574	12924
159	14649	12818
160	14711	12700
161	14785	12594
162	14864	12493
163	14940	12389
164	15026	12294
165	15123	12207
166	15242	12139
167	15341	12053
168	15424	11955
169	15535	11879
170	15614	11779
171	15703	11686
172	15793	11594
173	15869	11491
174	15939	11385
175	16024	11289
176	16113	11197
177	16248	11136
178	16348	11051
179	16427	10951
180	16525	10865
181	16608	10768
182	16685	10667
183	16757	10564
184	16827	10460
185	16900	10358
186	16976	10258
187	17067	10167
188	17152	10073
189	17261	9993
190	17329	9889
191	17408	9792
192	17492	9697
193	17595	9613
194	17690	9525
195	17765	9426
196	17856	9336
197	17938	9240
198	18030	9151
199	18141	9070
200	18233	8980
201	18311	8883
202	18390	8787
203	18457	8685
204	18553	8597
205	18667	8517
206	18755	8426
207	18833	8330
208	18914	8235
209	18982	8135
210	19081	8048
211	19209	7973
212	19292	7879
213	19363	7781
214	19449	7689
215	19537	7598
216	19627	7507
217	19720	7417
218	19815	7328
219	19896	7234
220	19964	7136
221	20041	7041
222	20122	6948
223	20222	6861
224	20327	6775
225	20442	6693
226	20535	6604
227	20607	6507
228	20708	6420
229	20785	6326
230	20861	6231
231	20976	6148
232	21067	6058
233	21154	5966
234	21250	5877
235	21322	5782
236	21385	5684
237	21487	5597
238	21561	5503
239	21642	5410
240	21717	5316
241	21807	5226
242	21886	5133
243	21959	5039
244	22034	4946
245	22108	4853
246	22175	4758
247	22270	4669
248	22365	4580
249	22461	4492
250	22555	4403
251	22621	4308
252	22685	4214
253	22785	4126
254	22853	4032
255	22932	3941
256	23039	3854
257	23146	3768
258	23249	3680
259	23321	3587
260	23399	3496
261	23491	3407
262	23575	3316
263	23673	3228
264	23743	3135
265	23828	3045
266	23905	2954
267	23978	2863
268	24081	2775
269	24159	2684
270	24243	2594
271	24315	2503
272	24398	2413
273	24493	2324
274	24600	2236
275	24670	2145
276	24741	2054
277	24836	1965
278	24912	1875
279	25003	1785
280	25094	1696
281	25167	1606
282	25281	1518
283	25358	1428
284	25444	1339
285	25537	1250
286	25602	1159
287	25680	1070
288	25755	980
289	25854	891
290	25948	802
291	26059	713
292	26116	623
293	26278	536
294	26363	446
295	26421	357
296	26509	267
297	26591	178
298	26665	89
299	26740	0
