iter	Passed	Remaining
0	76	23006
1	148	22198
2	234	23229
3	321	23809
4	412	24320
5	499	24472
6	587	24605
7	681	24858
8	778	25161
9	870	25240
10	944	24825
11	1019	24465
12	1095	24178
13	1171	23926
14	1252	23806
15	1338	23749
16	1414	23543
17	1471	23054
18	1546	22871
19	1622	22721
20	1716	22810
21	1804	22803
22	1885	22712
23	1960	22540
24	2033	22370
25	2099	22120
26	2168	21926
27	2238	21749
28	2296	21462
29	2369	21324
30	2432	21111
31	2497	20914
32	2565	20754
33	2636	20627
34	2727	20652
35	2798	20522
36	2856	20301
37	2929	20195
38	2989	20009
39	3074	19983
40	3148	19891
41	3225	19813
42	3302	19738
43	3375	19638
44	3445	19526
45	3509	19375
46	3569	19216
47	3655	19189
48	3728	19100
49	3799	18995
50	3868	18887
51	3945	18818
52	4006	18671
53	4081	18595
54	4137	18430
55	4214	18364
56	4273	18219
57	4332	18076
58	4389	17931
59	4466	17866
60	4520	17709
61	4585	17601
62	4678	17600
63	4765	17573
64	4830	17463
65	4898	17367
66	4962	17259
67	5047	17220
68	5103	17085
69	5155	16939
70	5232	16877
71	5302	16791
72	5364	16682
73	5426	16572
74	5489	16468
75	5556	16377
76	5631	16309
77	5721	16282
78	5785	16184
79	5857	16107
80	5921	16011
81	5983	15907
82	6060	15845
83	6136	15779
84	6199	15681
85	6273	15611
86	6342	15527
87	6403	15426
88	6477	15357
89	6538	15257
90	6589	15134
91	6674	15090
92	6740	15003
93	7016	15376
94	7241	15626
95	7828	16635
96	8384	17546
97	8826	18193
98	9223	18726
99	9488	18976
100	9807	19323
101	10136	19677
102	10592	20259
103	11140	20994
104	11578	21502
105	12128	22197
106	12637	22793
107	13212	23489
108	14180	24848
109	14780	25529
110	15415	26248
111	15953	26778
112	16451	27224
113	16784	27385
114	17140	27574
115	17482	27731
116	17886	27977
117	18178	28038
118	18555	28222
119	18969	28453
120	19549	28919
121	19962	29125
122	20326	29250
123	20660	29324
124	21086	29520
125	21447	29618
126	21795	29689
127	22119	29722
128	22527	29862
129	23015	30097
130	23364	30142
131	23761	30242
132	24260	30461
133	24621	30501
134	24992	30546
135	25460	30702
136	25853	30760
137	26247	30812
138	26638	30854
139	27056	30921
140	27448	30952
141	27982	31135
142	28579	31377
143	29048	31469
144	29488	31522
145	30045	31691
146	30551	31798
147	31056	31896
148	31849	32277
149	32513	32513
150	33010	32573
151	33599	32715
152	34058	32723
153	34597	32799
154	35077	32814
155	35458	32731
156	35844	32648
157	36240	32571
158	36609	32464
159	37011	32385
160	37343	32240
161	37731	32141
162	38072	31999
163	38513	31937
164	38835	31774
165	39242	31677
166	39649	31577
167	39937	31379
168	40292	31232
169	40708	31130
170	41047	30965
171	41402	30811
172	41806	30690
173	42200	30558
174	42607	30433
175	43056	30335
176	43640	30326
177	44339	30390
178	44742	30245
179	45115	30077
180	45574	29963
181	46041	29850
182	46594	29789
183	47109	29699
184	47821	29727
185	48190	29536
186	48689	29421
187	49115	29260
188	49556	29104
189	50001	28948
190	50167	28629
191	50267	28275
192	50350	27914
193	50452	27566
194	50542	27215
195	50617	26858
196	50703	26510
197	50805	26172
198	50889	25828
199	50975	25487
200	51038	25138
201	51104	24793
202	51179	24455
203	51241	24113
204	51312	23778
205	51393	23451
206	51470	23124
207	51530	22792
208	51744	22529
209	51890	22238
210	52016	21940
211	52219	21675
212	52358	21385
213	52430	21070
214	52535	20769
215	52619	20463
216	52692	20154
217	52791	19857
218	52881	19559
219	52965	19260
220	53038	18959
221	53121	18664
222	53195	18368
223	53273	18075
224	53338	17779
225	53423	17492
226	53485	17200
227	53580	16920
228	53665	16638
229	53757	16360
230	53839	16081
231	53921	15804
232	54012	15531
233	54084	15254
234	54177	14985
235	54257	14713
236	54342	14445
237	54427	14178
238	54517	13914
239	54578	13644
240	54635	13375
241	54701	13110
242	54784	12850
243	54876	12594
244	54950	12335
245	55043	12082
246	55109	11825
247	55173	11568
248	55264	11319
249	55332	11066
250	55394	10814
251	55462	10564
252	55609	10330
253	55694	10086
254	55763	9840
255	55829	9595
256	55893	9351
257	55957	9109
258	56064	8875
259	56124	8634
260	56184	8395
261	56256	8159
262	56325	7924
263	56406	7691
264	56506	7463
265	56578	7231
266	56641	7000
267	56711	6771
268	56789	6544
269	56858	6317
270	56916	6090
271	57011	5868
272	57077	5645
273	57157	5423
274	57242	5203
275	57293	4982
276	57355	4762
277	57465	4547
278	57526	4329
279	57598	4114
280	57666	3899
281	57721	3684
282	57791	3471
283	57864	3259
284	57963	3050
285	58040	2841
286	58094	2631
287	58163	2423
288	58221	2216
289	58304	2010
290	58409	1806
291	58484	1602
292	58540	1398
293	58618	1196
294	58674	994
295	58727	793
296	58804	593
297	58899	395
298	58960	197
299	59022	0
